sample_idx,original_class,true_class,cf_applied,cf_class,flip_successful,changes_made,explanation
0,setosa,setosa,True,setosa,False,['petal width (cm): 0.500 → 0.798'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | setosa                                                       |
| Contrast Class    | versicolor                                                   |
| Counterfactuals   | petal width (cm) <= 0.798                                    |
| Confidence        | 100.0%                                                       |
| Fidelity          | 97.0%                                                        |
| Time Taken(s)     | 0.01                                                         |
|-------------------|--------------------------------------------------------------|"
1,setosa,setosa,True,setosa,False,"['petal width (cm): 0.300 → 0.771', 'petal length (cm): 1.500 → 4.847']","|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | setosa                                                       |
| Contrast Class    | versicolor                                                   |
| Counterfactuals   | petal width (cm) <= 0.771 and petal length (cm) <= 4.847     |
| Confidence        | 100.0%                                                       |
| Fidelity          | 97.0%                                                        |
| Time Taken(s)     | 0.01                                                         |
|-------------------|--------------------------------------------------------------|"
2,versicolor,versicolor,True,versicolor,False,"['petal width (cm): 1.400 → 0.816', 'petal length (cm): 4.400 → 2.408']","|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | versicolor                                                   |
| Contrast Class    | setosa                                                       |
| Counterfactuals   | petal width (cm) > 0.806 and petal length (cm) > 2.398       |
| Confidence        | 100.0%                                                       |
| Fidelity          | 100.0%                                                       |
| Time Taken(s)     | 0.01                                                         |
|-------------------|--------------------------------------------------------------|"
3,versicolor,virginica,True,virginica,True,['petal width (cm): 1.600 → 0.809'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | versicolor                                                   |
| Contrast Class    | setosa                                                       |
| Counterfactuals   | petal width (cm) > 0.799                                     |
| Confidence        | 100.0%                                                       |
| Fidelity          | 100.0%                                                       |
| Time Taken(s)     | 0.17                                                         |
|-------------------|--------------------------------------------------------------|"
4,versicolor,versicolor,False,,False,[],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | versicolor                                                   |
| Contrast Class    | setosa                                                       |
| Counterfactuals   | N/A                                                          |
| Confidence        | 0.0%                                                         |
| Fidelity          | 99.8%                                                        |
| Time Taken(s)     | 0.13                                                         |
|-------------------|--------------------------------------------------------------|"
5,setosa,setosa,True,setosa,False,"['petal width (cm): 0.200 → 0.786', 'petal length (cm): 1.200 → 4.328']","|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | setosa                                                       |
| Contrast Class    | versicolor                                                   |
| Counterfactuals   | petal width (cm) <= 0.786 and petal length (cm) <= 4.328     |
| Confidence        | 100.0%                                                       |
| Fidelity          | 86.4%                                                        |
| Time Taken(s)     | 0.01                                                         |
|-------------------|--------------------------------------------------------------|"
6,versicolor,versicolor,True,versicolor,False,['petal width (cm): 1.400 → 0.809'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | versicolor                                                   |
| Contrast Class    | setosa                                                       |
| Counterfactuals   | petal width (cm) > 0.799                                     |
| Confidence        | 100.0%                                                       |
| Fidelity          | 99.8%                                                        |
| Time Taken(s)     | 0.01                                                         |
|-------------------|--------------------------------------------------------------|"
7,versicolor,versicolor,False,,False,[],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | versicolor                                                   |
| Contrast Class    | setosa                                                       |
| Counterfactuals   | N/A                                                          |
| Confidence        | 0.0%                                                         |
| Fidelity          | 100.0%                                                       |
| Time Taken(s)     | 0.13                                                         |
|-------------------|--------------------------------------------------------------|"
8,setosa,setosa,True,setosa,False,['petal width (cm): 0.300 → 0.788'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | setosa                                                       |
| Contrast Class    | versicolor                                                   |
| Counterfactuals   | petal width (cm) <= 0.788                                    |
| Confidence        | 100.0%                                                       |
| Fidelity          | 98.4%                                                        |
| Time Taken(s)     | 0.01                                                         |
|-------------------|--------------------------------------------------------------|"
9,setosa,setosa,True,setosa,False,['petal width (cm): 0.300 → 0.786'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | setosa                                                       |
| Contrast Class    | versicolor                                                   |
| Counterfactuals   | petal width (cm) <= 0.786                                    |
| Confidence        | 100.0%                                                       |
| Fidelity          | 98.4%                                                        |
| Time Taken(s)     | 0.14                                                         |
|-------------------|--------------------------------------------------------------|"
10,versicolor,versicolor,True,versicolor,False,['petal width (cm): 1.300 → 0.807'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | versicolor                                                   |
| Contrast Class    | setosa                                                       |
| Counterfactuals   | petal width (cm) > 0.797                                     |
| Confidence        | 100.0%                                                       |
| Fidelity          | 100.0%                                                       |
| Time Taken(s)     | 0.28                                                         |
|-------------------|--------------------------------------------------------------|"
11,virginica,virginica,True,virginica,False,['petal width (cm): 2.300 → 0.825'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | virginica                                                    |
| Contrast Class    | setosa                                                       |
| Counterfactuals   | petal width (cm) > 0.815                                     |
| Confidence        | 100.0%                                                       |
| Fidelity          | 99.4%                                                        |
| Time Taken(s)     | 0.12                                                         |
|-------------------|--------------------------------------------------------------|"
12,setosa,setosa,True,setosa,False,"['petal width (cm): 0.300 → 0.781', 'sepal width (cm): 2.300 → 2.773']","|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | setosa                                                       |
| Contrast Class    | versicolor                                                   |
| Counterfactuals   | petal width (cm) <= 0.781 and sepal width (cm) <= 2.773      |
| Confidence        | 100.0%                                                       |
| Fidelity          | 95.4%                                                        |
| Time Taken(s)     | 0.24                                                         |
|-------------------|--------------------------------------------------------------|"
13,versicolor,versicolor,True,versicolor,False,['petal width (cm): 1.500 → 0.812'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | versicolor                                                   |
| Contrast Class    | setosa                                                       |
| Counterfactuals   | petal width (cm) > 0.802                                     |
| Confidence        | 100.0%                                                       |
| Fidelity          | 100.0%                                                       |
| Time Taken(s)     | 0.30                                                         |
|-------------------|--------------------------------------------------------------|"
14,virginica,virginica,True,versicolor,True,['petal width (cm): 1.800 → 0.802'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | virginica                                                    |
| Contrast Class    | setosa                                                       |
| Counterfactuals   | petal width (cm) > 0.792                                     |
| Confidence        | 100.0%                                                       |
| Fidelity          | 99.8%                                                        |
| Time Taken(s)     | 0.02                                                         |
|-------------------|--------------------------------------------------------------|"
15,setosa,setosa,True,setosa,False,['petal width (cm): 0.200 → 0.697'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | setosa                                                       |
| Contrast Class    | versicolor                                                   |
| Counterfactuals   | petal width (cm) <= 0.697                                    |
| Confidence        | 100.0%                                                       |
| Fidelity          | 98.2%                                                        |
| Time Taken(s)     | 0.27                                                         |
|-------------------|--------------------------------------------------------------|"
16,virginica,virginica,True,virginica,False,['petal width (cm): 1.400 → 0.823'],"|-------------------|--------------------------------------------------------------|
| Aspect            | Details                                                      |
|-------------------|--------------------------------------------------------------|
| Predicted Class   | virginica                                                    |
| Contrast Class    | setosa                                                       |
| Counterfactuals   | petal width (cm) > 0.813                                     |
| Confidence        | 100.0%                                                       |
| Fidelity          | 100.0%                                                       |
| Time Taken(s)     | 0.19                                                         |
|-------------------|--------------------------------------------------------------|"
